indicator_id,indicator_name,topic,topic_label,unit,unit_label,geo_area,geo_name,time_period,value,source_type
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,01,Entidad Norte,2016,490000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,01,Entidad Norte,2017,499000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,01,Entidad Norte,2018,511000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,01,Entidad Norte,2019,523000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,01,Entidad Norte,2020,538000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,02,Entidad Centro,2016,440000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,02,Entidad Centro,2017,438000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,02,Entidad Centro,2018,437000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,02,Entidad Centro,2019,440000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,02,Entidad Centro,2020,445000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,03,Entidad Sur,2016,342000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,03,Entidad Sur,2017,345000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,03,Entidad Sur,2018,349000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,03,Entidad Sur,2019,347000,synthetic
P01-POP-MEN,Poblacion masculina,123,Poblacion,188,Personas,03,Entidad Sur,2020,350000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,01,Entidad Norte,2016,1000000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,01,Entidad Norte,2017,1020000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,01,Entidad Norte,2018,1045000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,01,Entidad Norte,2019,1070000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,01,Entidad Norte,2020,1100000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,02,Entidad Centro,2016,900000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,02,Entidad Centro,2017,897000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,02,Entidad Centro,2018,895000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,02,Entidad Centro,2019,900000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,02,Entidad Centro,2020,910000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,03,Entidad Sur,2016,700000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,03,Entidad Sur,2017,705000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,03,Entidad Sur,2018,712000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,03,Entidad Sur,2019,709000,synthetic
P01-POP-TOTAL,Poblacion total,123,Poblacion,188,Personas,03,Entidad Sur,2020,715000,synthetic
